ID RA DEC x y thresh flux flag
S0 10.09886515789572 41.72446399472905 123.73591678529613 0.3860994824398471 200.0 2822.405029296875 2.0
S1 10.097880634466193 41.724311076339255 140.07606691922072 3.7964384861353757 200.0 3471.514892578125 0.0
S2 10.103765107634636 41.72435114721139 42.401647553848555 2.843844659798981 200.0 8759.072265625 2.0
S3 10.09970148525056 41.7242290177652 109.85127892739378 5.602886445912468 200.0 3221.2470703125 0.0
S4 10.097547647381816 41.72423786614122 145.60244297325877 5.427726418086732 200.0 8590.94140625 0.0
S5 10.10139723888141 41.72416498608946 81.70308870819171 7.009146659651301 200.0 18392.142578125 1.0
S6 10.099427544458619 41.72400181715604 114.39578532507207 10.658040197512248 200.0 10728.1533203125 1.0
S7 10.10300078276434 41.724245846477295 55.08718948501453 5.19382981996381 200.0 6016.79443359375 1.0
S8 10.102969247009588 41.724018236159054 55.60785658374713 10.255639797824347 200.0 14434.5791015625 1.0
S9 10.102661202610163 41.7244240377163 60.725970776403756 1.2349973818345144 200.0 31718.341796875 3.0
S10 10.101890217864323 41.72432065962032 73.52209678170142 3.5421363613634806 200.0 14399.8759765625 1.0
S11 10.10271353224087 41.72387424448941 59.85066834123785 13.460416526055472 200.0 7705.55029296875 1.0
S12 10.09912702135552 41.72383037470975 119.38218833615134 14.473530849115857 200.0 4545.89892578125 0.0
S13 10.102245116880665 41.723640991780314 67.62301914505274 18.652402590897292 200.0 4432.4736328125 0.0
S14 10.100008524078868 41.72351137140978 104.74656974494401 21.558339728491475 200.0 4428.94580078125 0.0
S15 10.102509792229561 41.72345164063097 63.22739584111948 22.860237854170773 200.0 4355.87109375 0.0
S16 10.099512762678293 41.72348902127132 112.97543934609676 22.060430750907642 200.0 5452.4501953125 0.0
S17 10.098279781192288 41.723463181215784 133.44137075902336 22.64747953873521 200.0 6461.21337890625 1.0
S18 10.09801205249827 41.72351039535403 137.88590959112406 21.60021962255271 200.0 6492.44140625 1.0
S19 10.102504221686848 41.723166369513194 63.31640152185117 29.203992524046306 200.0 3687.134765625 0.0
S20 10.103672009855964 41.7230853278463 43.93122097623005 30.99343147860888 200.0 9520.3759765625 0.0
S21 10.104592026527873 41.72298154212816 28.658484926487272 33.291152962618526 200.0 6514.3291015625 1.0
S22 10.104541114572406 41.72283794289379 29.501760434977946 36.48499892766756 200.0 10340.3486328125 1.0
S23 10.104782998755317 41.723063541111905 25.489561018356145 31.465568003488922 200.0 4871.91650390625 1.0
S24 10.10070285888815 41.723062237544184 93.2160962541483 31.538723054337165 200.0 53900.59765625 0.0
S25 10.103544053730403 41.72278722690377 46.051478472701966 37.62383474406927 200.0 4741.892578125 1.0
S26 10.1039772475378 41.72381370034216 38.873669486374034 14.792935981112922 200.0 16297.0009765625 1.0
S27 10.103303308303916 41.72346773821097 50.056040472552084 22.493654381081882 200.0 83518.5078125 1.0
S28 10.10564029850867 41.723945533296295 11.270587324939356 11.842645946630006 200.0 792285.5 3.0
S29 10.101579943042301 41.7226545866166 78.65246347195948 40.59460565872463 200.0 3085.187744140625 0.0
S30 10.100957972822862 41.72266566045595 88.97678954860656 40.35490801416199 200.0 7117.162109375 1.0
S31 10.10304239158352 41.72254161350756 54.37562946062346 43.09112738375152 200.0 9253.98046875 1.0
S32 10.099686404861892 41.72248115191033 110.08166886464625 44.471073680435815 200.0 10054.0615234375 0.0
S33 10.101670678846855 41.72227094226319 77.14175332521066 49.12490470477091 200.0 4140.53173828125 0.0
S34 10.10409720585406 41.72246045342236 36.86552764073518 44.88433215212155 200.0 23296.375 1.0
S35 10.104304323764707 41.72228190403454 33.42528115296688 48.85251015985133 200.0 5140.3798828125 1.0
S36 10.102254735636107 41.722257562383305 67.44666969384198 49.416204273205445 200.0 4703.80029296875 0.0
S37 10.1006383689969 41.72214584129936 94.27589656780191 51.917686189257 200.0 8350.609375 0.0
S38 10.100029783912772 41.722128674678785 104.37779305311813 52.30573279824455 200.0 4687.35302734375 0.0
S39 10.100288910390496 41.721823332927436 100.07294221311984 59.09307038126773 200.0 2825.25537109375 0.0
S40 10.102637710755499 41.72170093175789 61.082787353687955 61.79011096352118 200.0 3630.685791015625 0.0
S41 10.101861920905401 41.72209659069761 73.96518729752762 53.0 200.0 4716.00537109375 9.0
S42 10.102017376642442 41.72193078877089 71.38273705677925 56.685348796164675 200.0 4844.0166015625 1.0
S43 10.101966440163894 41.721711423101794 72.22562049740152 61.56401985412932 200.0 8847.3984375 1.0
S44 10.101111393767928 41.7218114271103 86.42007535703893 59.349245734998135 200.0 17282.361328125 0.0
S45 10.102391012913927 41.72170125414393 65.17783414503806 61.78560151979859 200.0 8661.2490234375 0.0
S46 10.104380407261381 41.721615628954936 32.15394717793036 63.66790364025204 200.0 16611.7734375 0.0
S47 10.105663662243673 41.72232450203017 10.861795317288607 47.88993856763813 200.0 28771.828125 1.0
S48 10.105689386754014 41.72214379335107 10.432447199138021 51.90814086722208 200.0 69112.09375 1.0
S49 10.105121675243703 41.72262734593319 19.86225956613052 41.161614399049725 200.0 65730.28125 1.0
S50 10.10588639575692 41.721668027076134 7.156047788605025 62.48570837395998 200.0 54997.6953125 1.0
S51 10.104798022761281 41.72251457192917 25.23319377755475 43.67305945816261 200.0 6598.22119140625 1.0
S52 10.106259468936244 41.72148696211769 0.9608718494116192 66.50784839382993 200.0 6992.6806640625 3.0
S53 10.105449784385401 41.722796357074984 14.418092142660768 37.39952953612338 200.0 6244.07470703125 1.0
S54 10.103481437573791 41.721259391366964 47.07193911892671 71.59964639961746 200.0 6621.146484375 0.0
S55 10.103741474827688 41.720987695179126 42.752058174106736 77.63861081998773 200.0 3007.236572265625 0.0
S56 10.101477930750377 41.72098475378343 80.32597541111647 77.72846414157587 200.0 5877.65966796875 0.0
S57 10.105665692096018 41.72083538205137 10.808826889922422 81.00410553213018 200.0 3953.61181640625 0.0
S58 10.106293372236648 41.72080115901972 0.3891068097004494 81.75795136637537 200.0 3137.791259765625 2.0
S59 10.103127506226008 41.720814532189884 52.94157060969487 81.49603722014362 200.0 8257.3603515625 1.0
S60 10.103324981938652 41.72071600511796 49.662325904905295 83.6848692528464 200.0 4977.32763671875 1.0
S61 10.101714584679465 41.72066653331281 76.39381765805686 84.80235757151297 200.0 1635.38427734375 0.0
S62 10.102886348440423 41.72060107944477 56.94209724439845 86.24529870954085 200.0 7066.81005859375 0.0
S63 10.102946707337594 41.72026994000304 55.93610327240123 93.60833071589876 200.0 9580.1669921875 0.0
S64 10.102401595945924 41.720217477550065 64.98420670056055 94.78085387133801 200.0 2495.135498046875 0.0
S65 10.104002573731488 41.72054428089266 38.41236877768574 87.49611821324535 200.0 57755.08984375 1.0
S66 10.103844058652648 41.72023744392637 41.039848408948686 94.32113318381315 200.0 3453.946533203125 1.0
S67 10.104375132203371 41.72014312144318 32.22294137863585 96.41273333801676 200.0 10988.46875 1.0
S68 10.103487339550327 41.71995469124353 46.95781522647799 100.61274863195725 200.0 27908.931640625 0.0
S69 10.106245935240091 41.71971875504852 1.162372686930778 105.82837069928749 200.0 2098.993896484375 2.0
S70 10.104411535543793 41.71967801074863 31.612782537555034 106.75519022743731 200.0 1761.1324462890625 0.0
S71 10.103479492291171 41.71954910319299 47.08305791649632 109.63206705175155 200.0 10154.2646484375 0.0
S72 10.103895972069418 41.71936082663192 40.16714974340893 113.81426809180383 200.0 2918.1015625 0.0
S73 10.104473173985953 41.719013304792924 30.581188483489232 121.53584906981227 200.0 5888.5810546875 0.0
