ID RA DEC x y thresh flux flag
S0 10.097735044900316 41.72139484690214 152.3039838106808 1.165577675303179 30.0 387.5041809082031 2.0
S1 10.096268966922581 41.72138023688467 176.63915762946542 1.5018946730913636 30.0 653.8914184570312 2.0
S2 10.101609004200892 41.72135787912823 88.0 1.9554027107571268 30.0 315.3226013183594 10.0
S3 10.09911714129151 41.72138090921076 129.3625190460554 1.4643442703808853 30.0 997.1731567382812 2.0
S4 10.101638671605587 41.72088042165331 87.50213393842454 12.572240155442675 30.0 1548.947021484375 1.0
S5 10.10137094784751 41.720855380176815 91.94581401819688 13.131401921548376 30.0 4102.19580078125 1.0
S6 10.105115944424355 41.72023906176618 29.77482025929088 26.80258765643832 30.0 25049.283203125 1.0
S7 10.105551042367955 41.72036902921985 22.554137537880013 23.908442549523812 30.0 124990.4765625 1.0
S8 10.104716480329124 41.71915882776914 36.392497162696074 50.82719002797663 30.0 22249.740234375 1.0
S9 10.104041401277 41.7187412511737 47.59347671914733 60.118956370037694 30.0 14940.6787109375 1.0
S10 10.103211451979526 41.721258071359614 61.39989814306176 4.160629073988897 30.0 44446.78515625 3.0
S11 10.106322729320075 41.71885946698921 9.72580040730066 57.46882732243684 30.0 75563.6484375 3.0
S12 10.106266411534802 41.72127413275821 10.690940290923848 3.7750855126396305 30.0 34733.2109375 3.0
S13 10.10331816469786 41.718182719481895 59.59234231901395 72.54545017738009 30.0 18358.955078125 1.0
S14 10.10654217840565 41.71765475029318 6.067840298880998 84.25568061548361 30.0 763.8834228515625 1.0
S15 10.106817759516241 41.71743235112412 1.4904020658836457 89.1984475256157 30.0 690.9593505859375 3.0
S16 10.10641984668336 41.71673917171018 8.087013038367942 104.61633505647151 30.0 6831.646484375 1.0
S17 10.10676380225649 41.71650384343437 2.374324039694474 109.84594782413879 30.0 529.5759887695312 1.0
S18 10.10626490534367 41.71634229649294 10.654081270811272 113.44303091550464 30.0 714.622802734375 0.0
