ID RA DEC x y thresh flux flag
S0 9.992269130869193 41.72441143789819 1893.0817430510322 1.5250610420142725 300.0 11322.4892578125 0.0
S1 10.098897738716612 41.724369343456985 123.18380984278541 2.496684729056688 300.0 4726.39306640625 0.0
S2 10.097908815772751 41.724306313894935 139.5979961157369 3.9080433072314373 300.0 5442.76953125 0.0
S3 9.996348190911313 41.72433006149673 1825.375857538952 3.3763489770484734 300.0 4999.244140625 0.0
S4 10.001234115561962 41.72427459121399 1744.2764869320526 4.655573197201841 300.0 5110.72412109375 0.0
S5 10.097609709774899 41.72424489960544 144.56212654657992 5.276650605637427 300.0 4479.09326171875 0.0
S6 9.989986152524711 41.724270832620526 1930.9786572645403 4.627037144284895 300.0 13833.21484375 1.0
S7 10.10063028850446 41.72419572383899 94.42370816236723 6.3400256502594265 300.0 6788.3369140625 0.0
S8 9.996939428781106 41.72421703436846 1815.5637925910369 5.895561607288071 300.0 7809.58056640625 0.0
S9 10.10144309576482 41.72422981149654 80.93250219118153 5.573583796680521 300.0 40199.34375 1.0
S10 10.100825509848997 41.723986813114244 91.18087896184791 10.983660830521671 300.0 8862.1318359375 0.0
S11 10.099681965754577 41.72431817854187 110.16606832371001 3.6266043666192207 300.0 18188.181640625 3.0
S12 10.099624246153235 41.72397779310419 111.12034475838345 11.196497086027405 300.0 10449.7685546875 1.0
S13 10.099285485194413 41.72434976272026 116.74749544963504 2.9282400521110192 300.0 9201.1025390625 1.0
S14 10.103021503481237 41.72438140823625 54.73470999607169 2.1857439117369957 300.0 27970.51953125 3.0
S15 10.10299592784904 41.724038320948935 55.155107953037906 9.815411181585581 300.0 39292.98828125 1.0
S16 10.102478321941433 41.72439780513128 63.75102547469534 1.8269238983436122 300.0 31740.8515625 3.0
S17 10.102412524477101 41.724077131085394 64.83937200110287 8.958602165146825 300.0 11389.607421875 1.0
S18 10.103407562588046 41.72418731796734 48.32426719579989 6.497659403548857 300.0 6084.1708984375 1.0
S19 10.099155692470271 41.72388954029958 118.89681297921682 13.163720281125556 300.0 18263.384765625 0.0
S20 10.001339656203278 41.72378664509305 1742.531580434394 15.507195600641982 300.0 5622.927734375 0.0
S21 9.999451382204853 41.72372445157489 1773.8757158780966 16.87314206270516 300.0 2773.429443359375 0.0
S22 9.988986693671533 41.72386443708779 1947.575497451947 13.65310231524489 300.0 31388.400390625 0.0
S23 10.10034313614627 41.72370790336479 99.18455354512389 17.190861534211017 300.0 12176.140625 1.0
S24 9.987940712306475 41.723730230843294 1964.939962442286 16.625642075126198 300.0 11067.0146484375 0.0
S25 9.987037932457683 41.72385397446445 1979.9228900898822 13.863485163296346 300.0 18862.908203125 1.0
S26 9.987422264226433 41.723660869890196 1973.546860149296 18.162093750145182 300.0 11902.4150390625 1.0
S27 9.994093736841654 41.72365004829185 1862.8078785567093 18.47547938307554 300.0 17814.93359375 0.0
S28 10.099555907902353 41.72352302995242 112.24961579988326 21.309966768954364 300.0 7764.759765625 0.0
S29 9.995013884677167 41.723928732899736 1847.5300115166833 12.287598749026898 300.0 62023.30859375 1.0
S30 9.994923351206012 41.72353576524751 1849.0389985335255 21.02529045393583 300.0 18233.5703125 1.0
S31 10.012579843114318 41.72345515497944 1555.960899784515 22.96614121768649 300.0 3983.23974609375 0.0
S32 9.99692806507641 41.723461256362924 1815.7640196417278 22.702039927492077 300.0 4500.1708984375 0.0
S33 9.992927306964072 41.72332653392262 1882.174643770084 25.657520679501065 300.0 18468.09765625 0.0
S34 9.987481052700796 41.723294925763525 1972.57754636512 26.300442814060663 300.0 7193.23095703125 0.0
S35 10.010183474285169 41.722981982420436 1595.7437705525517 33.47170007106228 300.0 3050.865966796875 0.0
S36 9.999041255958236 41.72302766930187 1780.6936739809644 32.36401428187187 300.0 4913.50732421875 0.0
S37 9.989637294613983 41.72302637626385 1936.7907106689192 32.29672755493162 300.0 3866.966552734375 0.0
S38 9.995881027592802 41.72292996779446 1833.1520513681621 34.506275618307484 300.0 17837.48046875 0.0
S39 9.994552042900768 41.72311022337824 1855.2091168276706 30.48450018280201 300.0 14250.1572265625 1.0
